Date,Count
2013-12-30,402
2014-01-06,90
2014-01-13,840
2014-01-20,1539
2014-01-27,1743
2014-02-03,2639
2014-02-10,3058
2014-02-17,2798
2014-02-24,2825
2014-03-03,3433
2014-03-10,3501
2014-03-17,2613
2014-03-24,2361
2014-03-31,2530
2014-04-07,4187
2014-04-14,4778
2014-04-21,4432
2014-04-28,4962
2014-05-05,7505
2014-05-12,9553
2014-05-19,8050
2014-05-26,6414
2014-06-02,7173
2014-06-09,7716
2014-06-16,7220
2014-06-23,7374
2014-06-30,6716
2014-07-07,9555
2014-07-14,10194
2014-07-21,15907
2014-07-28,11053
2014-08-04,9564
2014-08-11,10297
2014-08-18,10927
2014-08-25,9571
2014-09-01,10687
2014-09-08,12322
2014-09-15,10464
2014-09-22,11236
2014-09-29,16516
2014-10-06,8828
2014-10-13,9894
2014-10-20,9201
2014-10-27,8286
2014-11-03,8809
2014-11-10,9257
2014-11-17,7924
2014-11-24,7234
2014-12-01,7824
2014-12-08,8886
2014-12-15,8692
2014-12-22,8199
2014-12-29,8531
2015-01-05,9916
2015-01-12,10085
2015-01-19,9257
2015-01-26,8708
2015-02-02,10029
2015-02-09,11785
2015-02-16,10099
2015-02-23,9142
2015-03-02,11350
2015-03-09,12102
2015-03-16,10115
2015-03-23,9299
2015-03-30,9893
2015-04-06,11685
2015-04-13,12040
2015-04-20,10773
2015-04-27,10634
2015-05-04,13349
2015-05-11,12361
2015-05-18,11068
2015-05-25,10581
2015-06-01,12643
2015-06-08,24618
2015-06-15,68315
2015-06-22,67789
2015-06-29,68086
2015-07-06,82942
2015-07-13,103336
2015-07-20,77872
2015-07-27,68483
2015-08-03,80077
2015-08-10,82811
2015-08-17,72415
2015-08-24,63093
2015-08-31,64333
2015-09-07,70827
2015-09-14,66983
2015-09-21,80482
2015-09-28,66605
2015-10-05,63213
2015-10-12,61060
2015-10-19,51310
2015-10-26,43248
2015-11-02,45567
2015-11-09,46275
2015-11-16,42312
2015-11-23,36894
2015-11-30,39234
2015-12-07,45056
2015-12-14,39392
2015-12-21,37644
2015-12-28,37928
2016-01-04,39160
2016-01-11,51680
2016-01-18,49799
2016-01-25,48152
2016-02-01,47930
2016-02-08,52024
2016-02-15,51774
2016-02-22,49626
2016-02-29,48927
2016-03-07,54006
2016-03-14,51431
2016-03-21,47640
2016-03-28,45827
2016-04-04,46359
2016-04-11,50552
2016-04-18,47113
2016-04-25,48595
2016-05-02,55213
2016-05-09,55462
2016-05-16,51970
2016-05-23,52003
2016-05-30,52353
2016-06-06,60343
2016-06-13,61872
2016-06-20,60592
2016-06-27,69872
2016-07-04,88070
2016-07-11,97064
2016-07-18,95994
2016-07-25,82418
2016-08-01,82869
2016-08-08,86524
2016-08-15,73432
2016-08-22,64194
2016-08-29,25807
